asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,403.208044205,403.329613241,403.018007987,406.307359268,406.898417347,405.103718349,407.829954981,408.041112727,407.726770442,402.665296242,402.83100213,402.574542914,ADM2,BEN_ADM2_1_3_3_0,Abomey,ADM2,2,0,BEN,0
1,401.288782366,402.478607178,393.939880373,408.499393649,409.296846881,407.531801133,406.87957635,407.316281363,406.392895785,402.34132196,402.635480387,402.196832567,ADM2,BEN_ADM2_1_3_3_1,Abomey-Calavi,ADM2,2,1,BEN,1
2,395.489509624,396.589531941,395.019168689,408.531341374,409.053438627,407.958604079,408.397345334,408.803955078,407.716205597,402.044080708,402.356747547,401.84026412,ADM2,BEN_ADM2_1_3_3_2,Adja-Ouere,ADM2,2,2,BEN,2
3,395.384704664,395.919078828,395.149604567,409.542837579,409.715086717,409.13154194,407.131709616,407.338245045,407.025052157,403.006490416,403.225744954,402.855190617,ADM2,BEN_ADM2_1_3_3_3,Adjarra,ADM2,2,3,BEN,3
4,394.513566649,394.935138206,394.107941338,409.281910338,409.555290809,409.127666929,407.442764251,407.584410212,407.316281363,402.297608619,402.48463628,402.140508442,ADM2,BEN_ADM2_1_3_3_4,Adjohoun,ADM2,2,4,BEN,4
5,401.958249754,403.329613241,399.587753296,406.410490774,406.954810664,405.561174665,407.649625013,407.883514735,407.411574459,402.520192003,402.714216105,402.340970866,ADM2,BEN_ADM2_1_3_3_5,Agbangnizoun,ADM2,2,5,BEN,5
6,394.472302789,395.359982578,393.939880373,409.65584296,409.79776596,409.240453564,406.928533072,407.125602722,406.605538108,402.743948426,402.832235243,402.461680906,ADM2,BEN_ADM2_1_3_3_6,Aguegues,ADM2,2,6,BEN,6
7,394.999877065,395.594274107,394.544742469,409.585386751,409.79776596,409.213234534,407.224231469,407.43879561,406.918730996,402.663596877,402.855190617,402.48463628,ADM2,BEN_ADM2_1_3_3_7,Akpo-Misserete,ADM2,2,7,BEN,7
8,401.239329005,402.173187256,399.986868369,407.485075194,408.18222209,406.269664401,407.085129673,407.330685702,406.764694824,402.115367468,402.203191475,402.040578009,ADM2,BEN_ADM2_1_3_3_8,Allada,ADM2,2,8,BEN,8
9,401.358492216,403.480103411,395.758392334,404.735781982,406.021158854,403.720825195,407.724717571,410.125314243,406.78374359,402.405304583,403.004669189,402.064998508,ADM2,BEN_ADM2_1_3_3_9,Aplahoue,ADM2,2,9,BEN,9
10,398.241417327,399.025259482,397.056643924,402.89874554,404.243379642,400.189910465,406.418520076,406.628705411,405.945943196,402.228361567,404.287276204,400.545462191,ADM2,BEN_ADM2_1_3_3_10,Athieme,ADM2,2,10,BEN,10
11,395.428690837,395.594274107,395.398799897,409.425790261,409.464160626,409.213234534,407.263557675,407.43879561,407.231923883,402.828614068,402.855190617,402.681391136,ADM2,BEN_ADM2_1_3_3_11,Avrankou,ADM2,2,11,BEN,11
12,402.681000181,403.568674492,400.675338745,405.280889956,408.209442139,403.793479919,408.893729528,410.607092721,407.340701017,405.215615168,407.643500434,402.808044434,ADM2,BEN_ADM2_1_3_3_12,Banikoara,ADM2,2,12,BEN,12
13,402.055927773,402.86541748,401.159332119,406.073861877,407.952133179,404.057371822,409.793334351,410.411536661,409.064467367,403.230507529,404.728681349,401.695065407,ADM2,BEN_ADM2_1_3_3_13,Bante,ADM2,2,13,BEN,13
14,401.549314995,402.112303459,400.520113699,406.440293847,408.053904216,404.057371822,408.609879654,409.671651547,407.246822781,404.619029223,405.354059429,403.105892016,ADM2,BEN_ADM2_1_3_3_14,Bassila,ADM2,2,14,BEN,14
15,401.984868751,402.614715576,399.941088528,405.795349635,408.448150635,404.671191681,407.108170222,409.162814477,405.077393752,407.072684493,410.209728534,403.729282925,ADM2,BEN_ADM2_1_3_3_15,Bembereke,ADM2,2,15,BEN,15
16,403.239245251,403.417114258,395.444778444,407.079620605,407.900255503,406.758172898,407.991316747,408.197857019,407.883514735,402.67526232,402.959231737,402.148548051,ADM2,BEN_ADM2_1_3_3_16,Bohicon,ADM2,2,16,BEN,16
17,394.596893121,396.682820639,394.191971821,409.040250261,409.304364718,408.513961216,407.975823296,408.377641558,407.508319091,402.066141833,402.310836799,401.952912369,ADM2,BEN_ADM2_1_3_3_17,Bonou,ADM2,2,17,BEN,17
18,400.011463417,401.211578369,398.762158368,406.042220509,407.180383934,404.595737275,406.853972653,407.26592344,406.553609619,401.878025969,402.121884742,401.039909938,ADM2,BEN_ADM2_1_3_3_18,Bopa,ADM2,2,18,BEN,18
19,401.34353927,401.798641259,400.803599039,402.369762378,406.000109863,399.527069092,409.018101766,409.586384918,408.299235662,404.838853712,406.681964874,399.837000529,ADM2,BEN_ADM2_1_3_3_19,Boukombe,ADM2,2,19,BEN,19
20,401.139558379,402.325594695,400.737159305,404.012807613,406.89025116,400.702850342,409.509568297,410.075141059,409.095420952,402.282143292,407.424377441,398.40499878,ADM2,BEN_ADM2_1_3_3_20,Kobli,ADM2,2,20,BEN,20
21,399.403229631,399.999647522,398.518449567,404.36824234,405.64305696,403.479231614,406.524043385,406.686744385,406.397708741,401.009410937,401.656299846,400.377903948,ADM2,BEN_ADM2_1_3_3_21,Come,ADM2,2,21,BEN,21
22,400.056148101,401.67289997,396.411239625,405.618347118,406.583239237,404.659484863,408.280403333,408.905233028,407.189153106,403.330569713,404.227034896,402.693840614,ADM2,BEN_ADM2_1_3_3_22,Copargo,ADM2,2,22,BEN,22
23,397.836356899,401.85186259,393.939880373,409.060577718,409.353240199,408.579120817,406.577980303,406.812409834,406.499216947,402.594144671,402.642373937,402.438725531,ADM2,BEN_ADM2_1_3_3_23,Cotonou,ADM2,2,23,BEN,23
24,398.625049058,402.322457951,393.784927369,407.993259934,408.457567899,407.339028931,408.817089189,409.329128531,408.197003319,402.753560274,403.437819417,401.790298903,ADM2,BEN_ADM2_1_3_3_24,Cove,ADM2,2,24,BEN,24
25,394.40152307,394.851107723,394.023910855,409.446979933,409.741372642,409.184060247,407.145402567,407.332474448,407.019281561,402.504784928,402.658435761,402.287881424,ADM2,BEN_ADM2_1_3_3_25,Dangbo,ADM2,2,25,BEN,25
26,402.552633694,403.014695909,399.690885894,408.008754714,408.616371155,406.78391037,409.295216604,409.507956952,409.038289409,403.529673455,404.044636705,402.673152612,ADM2,BEN_ADM2_1_3_3_26,Dassa-Zoume,ADM2,2,26,BEN,26
27,397.959578595,399.288360596,396.840970553,404.733037195,408.050842285,403.080480788,406.867729809,407.098085874,406.469401306,402.042876525,402.505497859,400.735330455,ADM2,BEN_ADM2_1_3_3_27,Djakotomey,ADM2,2,27,BEN,27
28,402.204795288,403.563822428,399.061277429,406.029775235,407.787468868,403.83859253,409.143696459,410.125314243,407.57002615,402.867360161,403.321033393,402.172207061,ADM2,BEN_ADM2_1_3_3_28,Djidja,ADM2,2,28,BEN,28
29,399.347784269,400.730773926,397.763778687,404.806573695,408.050842285,403.080480788,406.836975541,407.253976467,406.469401306,401.697003587,402.248055326,400.735330455,ADM2,BEN_ADM2_1_3_3_29,Dogbo,ADM2,2,29,BEN,29
30,402.355607947,402.98633449,401.904848394,407.795047375,408.55940846,406.940581322,409.432603976,409.64049458,409.294189453,403.904799978,404.961991785,403.003431424,ADM2,BEN_ADM2_1_3_3_30,Glazoue,ADM2,2,30,BEN,30
31,402.572245054,403.568674492,401.163465712,405.276643634,407.012535096,403.421813965,408.817188661,410.28276062,406.273254394,406.193523696,410.209728534,403.307601929,ADM2,BEN_ADM2_1_3_3_31,Gogounou,ADM2,2,31,BEN,31
32,398.838029284,399.859949748,397.364800193,403.462543377,404.389842078,402.5572052,405.749259733,407.436431885,400.523147584,400.818570549,402.247200706,399.248721036,ADM2,BEN_ADM2_1_3_3_32,Grand-Popo,ADM2,2,32,BEN,32
33,398.856288948,399.999647522,397.537448368,404.615642748,405.64305696,403.400292421,406.573683721,406.742445512,406.342524414,401.269050295,403.138944498,400.545462191,ADM2,BEN_ADM2_1_3_3_33,Houeyogbe,ADM2,2,33,BEN,33
34,396.024889344,396.421470974,395.398799897,408.985501181,409.464160626,408.620252169,407.373974071,407.645667336,407.231923883,402.819347312,403.051945473,402.507591654,ADM2,BEN_ADM2_1_3_3_34,Ifangni,ADM2,2,34,BEN,34
35,401.030720568,402.783039856,397.611721325,405.790142991,406.569908142,405.165395322,408.873212485,411.454387665,405.917027926,404.90634905,410.471553803,403.361450195,ADM2,BEN_ADM2_1_3_3_35,Kalale,ADM2,2,35,BEN,35
36,401.021551793,402.926687622,398.55078125,405.163153859,406.345323835,403.421813965,410.288317534,410.901931763,409.811054775,404.953285005,408.475013284,402.283721924,ADM2,BEN_ADM2_1_3_3_36,Kandi,ADM2,2,36,BEN,36
37,402.356877587,404.976989746,400.99617513,405.539041316,408.209442139,404.816269938,408.837077555,410.99229126,405.797406006,404.956347356,406.586990356,402.808044434,ADM2,BEN_ADM2_1_3_3_37,Kerou,ADM2,2,37,BEN,37
38,398.64106745,402.458665874,395.217962461,407.335611519,408.391790537,405.565775553,409.630978732,412.135485398,407.356560602,402.206162712,403.564426476,401.646309138,ADM2,BEN_ADM2_1_3_3_38,Ketou,ADM2,2,38,BEN,38
39,400.319593708,403.270135062,397.923548772,405.751243307,406.510284903,404.64099993,407.363116161,407.57002615,407.098085874,402.301980018,402.469200473,402.095955234,ADM2,BEN_ADM2_1_3_3_39,Klouekanme,ADM2,2,39,BEN,39
40,400.857600432,402.503509522,396.271209717,406.113636072,406.932632447,404.659484863,407.302043239,409.256493552,405.797406006,404.525275048,406.586990356,402.693840614,ADM2,BEN_ADM2_1_3_3_40,Kouande,ADM2,2,40,BEN,40
41,400.21522299,400.724160767,399.242962811,405.683277016,407.180383934,404.389842078,406.693532087,406.89782959,406.530843506,401.540820898,402.203191475,400.705368042,ADM2,BEN_ADM2_1_3_3_41,Kpomasse,ADM2,2,41,BEN,41
42,400.109566408,402.253861647,398.725387573,406.65138151,407.51212306,406.009365825,407.316667896,407.7267698,407.097232174,402.109593402,402.469200473,401.902947152,ADM2,BEN_ADM2_1_3_3_42,Lalo,ADM2,2,42,BEN,42
43,399.301808491,400.730773926,398.457048464,404.299439315,408.050842285,402.116957347,406.675639826,407.1032055,406.311803314,402.20477481,403.138944498,400.735330455,ADM2,BEN_ADM2_1_3_3_43,Lokossa,ADM2,2,43,BEN,43
44,400.45120425,402.930786133,398.94468689,404.570055146,405.460748341,404.085469055,408.555047641,413.32623291,404.238932195,405.25270122,408.010476249,402.139434814,ADM2,BEN_ADM2_1_3_3_44,N'dali,ADM2,2,44,BEN,44
45,401.164349273,401.91039238,398.794242478,404.398306351,406.383395725,399.527069092,408.260372034,409.072178176,407.319497279,403.771505876,405.093975609,402.693840614,ADM2,BEN_ADM2_1_3_3_45,Natitingou,ADM2,2,45,BEN,45
46,401.339123547,403.075408936,397.611721325,405.38376751,406.290986002,404.679871623,407.588351094,411.908798218,404.662685394,407.60645205,411.257363456,403.365979005,ADM2,BEN_ADM2_1_3_3_46,Nikki,ADM2,2,46,BEN,46
47,400.985657428,401.536231408,400.210630564,406.014470869,406.581941968,405.152602907,409.384952731,409.850985343,408.602674112,403.438648568,403.960578664,402.858229354,ADM2,BEN_ADM2_1_3_3_47,Ouake,ADM2,2,47,BEN,47
48,401.81638677,402.379973235,400.827894655,407.189092511,408.179168701,404.918721517,409.380562294,412.445846557,405.669074649,405.273631748,407.460072835,403.984705937,ADM2,BEN_ADM2_1_3_3_48,Ouesse,ADM2,2,48,BEN,48
49,400.646233426,401.322996776,399.782793851,406.358957271,408.158408573,403.763234638,406.623486563,406.875063477,406.243765963,401.687162985,402.415770157,400.705368042,ADM2,BEN_ADM2_1_3_3_49,Ouidah,ADM2,2,49,BEN,49
50,394.682243061,395.271260138,394.360032787,408.731976023,409.014880294,408.300660353,408.436316952,408.675769978,408.214923618,401.89160228,402.002877585,401.815281511,ADM2,BEN_ADM2_1_3_3_50,Ouinhi,ADM2,2,50,BEN,50
51,399.053935533,400.251504517,398.296305847,404.169659418,404.603646186,403.901813507,405.108930222,410.047827149,403.45556856,402.716458076,404.213539124,400.882888794,ADM2,BEN_ADM2_1_3_3_51,Parakou,ADM2,2,51,BEN,51
52,402.285502259,402.971392822,398.403340657,405.897076576,406.932513555,404.693747887,408.495475249,410.826293945,406.602762495,405.047515598,406.152862549,404.227034896,ADM2,BEN_ADM2_1_3_3_52,Pehunco,ADM2,2,52,BEN,52
53,401.725597797,402.636857253,400.10853764,404.784850422,405.166707357,404.31198992,405.87128314,407.514748709,404.044116775,408.066612077,411.305584717,404.940162658,ADM2,BEN_ADM2_1_3_3_53,Perere,ADM2,2,53,BEN,53
54,396.278307045,396.875684951,395.187229655,407.959981304,408.551586444,407.365621713,408.037929507,408.803955078,407.066702779,402.016012232,402.356747547,401.783939995,ADM2,BEN_ADM2_1_3_3_54,Pobe,ADM2,2,54,BEN,54
55,395.079497322,395.398799897,394.544742469,409.680003643,409.79776596,409.464160626,407.053726035,407.231923883,406.918730996,402.942916326,403.028990098,402.658435761,ADM2,BEN_ADM2_1_3_3_55,Porto-Novo,ADM2,2,55,BEN,55
56,395.731591596,396.589531941,394.851107723,408.882120333,409.555290809,408.118399987,407.578595281,408.540359497,407.222280329,402.470286857,402.70434651,402.137037317,ADM2,BEN_ADM2_1_3_3_56,Sakete,ADM2,2,56,BEN,56
57,402.059686643,403.563822428,399.301200817,407.235117152,408.348068237,405.038691521,409.60236178,410.032113993,409.329128531,402.516349198,403.426375834,401.672418503,ADM2,BEN_ADM2_1_3_3_57,Savalou,ADM2,2,57,BEN,57
58,402.573037137,402.929611652,401.753529452,407.911566135,408.744323731,404.771896363,409.844989226,412.500305176,404.812813896,404.2654783,407.133873833,402.345967124,ADM2,BEN_ADM2_1_3_3_58,Save,ADM2,2,58,BEN,58
59,401.313303817,403.363235473,398.55078125,406.01352728,407.313358852,405.294703525,410.236791069,411.636981201,407.99919637,403.834684576,405.817596436,403.059331396,ADM2,BEN_ADM2_1_3_3_59,Segbana,ADM2,2,59,BEN,59
60,395.201210929,395.754466664,393.939880373,409.768958018,409.966012808,409.296846881,406.84394137,407.131373319,406.605538108,402.854602132,403.225744954,402.635480387,ADM2,BEN_ADM2_1_3_3_60,Seme-Kpodji,ADM2,2,60,BEN,60
61,402.24439428,402.876780192,400.504124959,405.729950249,408.448150635,404.242736816,408.846196286,410.886768341,406.273254394,404.870964823,406.613301595,403.226407878,ADM2,BEN_ADM2_1_3_3_61,Sinende,ADM2,2,61,BEN,61
62,395.260727159,402.478607178,393.939880373,409.194359716,409.741372642,408.739534486,406.88623386,407.316281363,406.605538108,402.530129593,402.658435761,402.2781393,ADM2,BEN_ADM2_1_3_3_62,So-Ava,ADM2,2,62,BEN,62
63,400.984880529,403.417656532,398.296305847,405.377271611,407.750564354,403.901813507,407.515021478,413.32623291,401.131790162,404.541785517,410.142526245,400.483673096,ADM2,BEN_ADM2_1_3_3_63,Tchaourou,ADM2,2,63,BEN,63
64,401.450665145,402.526906331,396.682820639,407.705742051,408.570354533,407.011203982,407.611401952,408.052205679,407.26592344,401.991045056,402.090543226,401.902947152,ADM2,BEN_ADM2_1_3_3_64,Toffo,ADM2,2,64,BEN,64
65,401.253981224,402.033489482,400.467672812,407.493124839,408.238615408,406.063769204,406.928933817,407.164099121,406.741928711,402.224905176,402.334463424,401.573242188,ADM2,BEN_ADM2_1_3_3_65,Tori-Bossito,ADM2,2,65,BEN,65
66,401.534994832,402.349182129,400.682935248,406.079877391,406.847461407,402.374687195,407.798494799,408.557971434,407.14284659,404.192043547,404.70955866,403.649829865,ADM2,BEN_ADM2_1_3_3_66,Toucountouna,ADM2,2,66,BEN,66
67,398.540616831,399.006126991,397.923548772,405.814959437,406.065759143,405.428239913,407.113203031,407.254830166,406.940487882,402.161654235,402.248055326,402.095955234,ADM2,BEN_ADM2_1_3_3_67,Toviklin,ADM2,2,67,BEN,67
68,396.736273687,402.294096532,393.784927369,408.336913539,409.014880294,407.78551178,408.707149864,409.248558566,408.201269889,402.243581954,403.524942662,401.758957387,ADM2,BEN_ADM2_1_3_3_68,Zagnanado,ADM2,2,68,BEN,68
69,400.076505602,403.455612183,393.784927369,407.570396857,408.401174581,406.758172898,408.331335841,408.884420842,408.040259027,402.668704643,403.076017761,401.790298903,ADM2,BEN_ADM2_1_3_3_69,Za-Kpota,ADM2,2,69,BEN,69
70,399.515771572,402.526906331,394.107941338,408.494105444,409.184060247,407.681303012,407.508860533,408.214923618,407.030964355,402.102566368,402.287881424,401.92792976,ADM2,BEN_ADM2_1_3_3_70,Ze,ADM2,2,70,BEN,70
71,400.775745696,403.417114258,393.784927369,407.628619581,409.014880294,406.453891586,407.890049678,408.363987828,407.411574459,402.088073724,402.714216105,401.790298903,ADM2,BEN_ADM2_1_3_3_71,Zogbodomey,ADM2,2,71,BEN,71
72,401.185614622,403.716430664,397.386209636,405.930127307,406.732938878,405.009202322,408.120999837,409.464803399,406.855570918,404.135412104,404.880353893,402.942786408,ADM2,BEN_ADM2_1_3_3_72,Djougou,ADM2,2,72,BEN,72
73,401.065215796,404.976989746,394.276428223,406.422274421,407.580977496,400.702850342,407.527047964,409.125804646,406.51537323,404.461599412,406.610961914,401.269002278,ADM2,BEN_ADM2_1_3_3_73,Tanguieta,ADM2,2,73,BEN,73
74,402.026591246,403.496515611,400.473358154,403.83890258,406.344589233,400.702850342,408.710131426,410.151887439,407.809208138,403.472413565,406.124001639,400.065375773,ADM2,BEN_ADM2_1_3_3_74,Materi,ADM2,2,74,BEN,74
75,401.208043934,403.377860556,398.317456055,406.265371402,407.601070828,403.741597494,409.342388558,411.211517334,407.669488442,405.521582251,407.652166748,402.53129069,ADM2,BEN_ADM2_1_3_3_75,Karimama,ADM2,2,75,BEN,75
76,399.937648959,401.628623963,398.317456055,406.6347168,408.053588867,405.483712565,410.431623896,411.211517334,408.163200379,404.284957583,406.196299235,400.641430664,ADM2,BEN_ADM2_1_3_3_76,Malanville,ADM2,2,76,BEN,76
